"route","hab","apr_may","year","y"
"167",113,"Op",4.8794,2006,26
"168",113,"Op",3.6426,2007,19
"169",114,"Co",4.4097,2006,61
"170",115,"Co",4.4628,2006,54
"171",116,"Co",4.67745,2006,44
"172",117,"Co",4.46965,2006,48
"173",117,"Co",3.17095,2007,57
"174",118,"Co",4.25595,2006,28
"175",119,"We",1.60125,2008,27
"176",120,"Co",1.5556,2008,18
"177",121,"Br",4.271,2006,48
"178",121,"Br",2.68615,2007,77
"179",122,"Co",2.1803,2007,92
"180",123,"Co",1.871165,2008,36
"181",124,"Co",1.43195,2008,53
"182",125,"Co",3.7751,2006,9
"183",125,"Co",1.1065,2008,38
"184",126,"Br",0.36195,2008,49
"185",127,"Op",2.827965,2007,39
"186",128,"We",1.4335,2008,32
"187",129,"Co",3.5679,2006,6
"188",129,"Co",1.90095,2007,29
"189",130,"Op",0.88885,2008,35
"190",130,"Op",3.61595,2006,9
"191",131,"Co",0.74455,2008,42
"192",132,"We",0.18905,2008,35
"193",133,"Co",-0.48565,2008,33
"194",134,"Co",1.9713,2007,7
"195",135,"We",1.2065,2008,24
"196",136,"Co",0.86385,2008,22
"197",137,"Br",3.352615,2006,11
"198",137,"Br",0.66415,2008,55
"199",138,"Br",1.885935,2007,50
"200",138,"Br",3.54,2006,19
"201",139,"Co",3.30775,2006,51
"202",140,"Br",0.10715,2008,27
"203",141,"Co",2.630285,2006,45
"204",142,"Br",3.454935,2006,48
"205",143,"Br",0.65995,2008,82
"206",144,"We",3.06565,2006,9
"207",144,"We",1.3555,2007,43
"208",145,"Br",3.239785,2006,21
"209",145,"Br",1.4899,2007,72
"210",146,"We",1.274,2007,45
"211",147,"Co",1.36385,2007,40
"212",147,"Co",3.0634,2006,15
"213",148,"We",2.7204335,2006,29
"214",149,"Co",2.310585,2006,40
"215",150,"Co",0.9758,2007,65
"216",151,"Co",1.2095,2007,15
"217",152,"We",2.009135,2006,62
"218",153,"Br",1.78295,2006,86
"219",153,"Br",2e-04,2007,65
"220",153,"Br",-1.1608,2008,118
"221",154,"Co",1.96015,2007,7
"222",155,"Op",1.0313,2006,4
"223",156,"Co",1.35455,2007,44
"224",157,"Co",1.663835,2007,13
"225",158,"Co",-0.14805,2008,21
"226",159,"Op",0.1655,2006,2
"227",160,"We",0.8882,2007,77
"228",161,"Co",1.3715,2007,14
"229",162,"Op",-2.30061,2007,0
"230",163,"Op",0.3626,2007,9
"231",164,"Br",0.74255,2007,58
"232",165,"We",1.1484,2007,51
"233",166,"Op",0.44135,2007,50
"234",166,"Op",2.1216,2006,11
"235",167,"Op",0.3076,2007,88
"236",167,"Op",2.01885,2006,22
"237",168,"Op",2.4429,2006,6
"238",168,"Op",0.70385,2007,58
"239",169,"Op",0.60595,2007,50
"240",169,"Op",2.2558,2006,5
"241",170,"Op",2.369635,2006,1
"242",170,"Op",0.75705,2007,15
"243",171,"Op",2.7508,2006,6
"244",171,"Op",1.2645,2007,44
