"site","x_site","y_site","or_site","size_site","hab_site","temp_site"
"106",106,5164.8,4919,467,2,"Coniferus",2.326225
"107",107,4987.5,4902.2,471,2,"Coniferus",4.421175
"108",108,5011.8,4908.3,472,2,"Open",3.6363575
"109",109,5036.1,4914.5,473,2,"Coniferus",2.8390675
"110",110,5060.4,4920.5,474,1,"Coniferus",3.015585
"111",111,4957,4918,480,1,"Coniferus",2.920515
"112",112,4979.9,4925.9,481,2,"Coniferus",3.5118075
"113",113,5005.2,4932.4,482,2,"Open",4.261
"114",114,5029.5,4938.5,483,1,"Coniferus",4.4097
"115",115,5078.1,4950.8,485,1,"Coniferus",4.4628
"116",116,4974.2,4950.2,491,1,"Coniferus",4.67745
"117",117,4998.5,4956.4,492,2,"Coniferus",3.8203
"118",118,5022.9,4962.5,493,1,"Coniferus",4.25595
"119",119,5047.2,4968.7,494,1,"Wetlands",1.60125
"120",120,5071.6,4974.6,495,1,"Coniferus",1.5556
"121",121,5094.4,4978.5,496,2,"Broadeaved",3.478575
"122",122,5144.9,4991.1,498,1,"Coniferus",2.1803
"123",123,4990.2,4978.9,502,1,"Coniferus",1.871165
"124",124,5016.2,4986.5,503,1,"Coniferus",1.43195
"125",125,5089.2,5005,506,2,"Coniferus",2.4408
"126",126,5137.8,5017.1,508,1,"Broadeaved",0.36195
"127",127,4936.6,4992,510,1,"Open",2.827965
"128",128,5033.6,5017.7,514,1,"Wetlands",1.4335
"129",129,5058.2,5022.9,515,2,"Coniferus",2.734425
"130",130,5082.5,5029,516,2,"Open",2.2524
"131",131,5107.9,5035.3,517,1,"Coniferus",0.74455
"132",132,5131.3,5040.7,518,1,"Wetlands",0.18905
"133",133,5155.5,5047.2,519,1,"Coniferus",-0.48565
"134",134,4929.9,5015.9,521,1,"Coniferus",1.9713
"135",135,4955.2,5022.4,522,1,"Wetlands",1.2065
"136",136,4978.6,5028.3,523,1,"Coniferus",0.86385
"137",137,5002.9,5034.5,524,2,"Broadeaved",2.0083825
"138",138,5027.2,5040.7,525,2,"Broadeaved",2.7129675
"139",139,5052,5044.9,526,1,"Coniferus",3.30775
"140",140,5075.9,5053,527,1,"Broadeaved",0.10715
"141",141,5148.9,5071.3,530,1,"Coniferus",2.630285
"142",142,4898.9,5033.6,531,1,"Broadeaved",3.454935
"143",143,4971.9,5052.3,534,1,"Broadeaved",0.65995
"144",144,4996.2,5058.5,535,2,"Wetlands",2.210575
"145",145,5020.8,5063.7,536,2,"Broadeaved",2.3648425
"146",146,4940.8,5070.1,543,1,"Wetlands",1.274
"147",147,4965.2,5076.3,544,2,"Coniferus",2.213625
"148",148,4861.1,5075.2,551,1,"Wetlands",2.7204335
"149",149,4885.4,5081.5,552,1,"Coniferus",2.310585
"150",150,4935,5094.2,554,1,"Coniferus",0.9758
"151",151,5032.5,5119.1,558,1,"Coniferus",1.2095
"152",152,4829,5092.6,561,1,"Wetlands",2.009135
"153",153,4878.5,5106.3,563,3,"Broadeaved",0.20745
"154",154,5024.7,5142.5,569,1,"Coniferus",1.96015
"155",155,4798.5,5108.2,572,1,"Open",1.0313
"156",156,4993.7,5160.6,578,1,"Coniferus",1.35455
"157",157,5016.4,5165.5,579,1,"Coniferus",1.663835
"158",158,5066.8,5179,581,1,"Coniferus",-0.14805
"159",159,4767.9,5127.7,582,1,"Open",0.1655
"160",160,4986.9,5184.3,585,1,"Wetlands",0.8882
"161",161,5011.2,5190.7,586,1,"Coniferus",1.3715
"162",162,4762.9,5152.3,589,1,"Open",-2.30061
"163",163,4955.9,5202.2,591,1,"Open",0.3626
"164",164,4980.8,5206.6,592,1,"Broadeaved",0.74255
"165",165,5004.5,5212.6,593,1,"Wetlands",1.1484
"166",166,4949.1,5226.1,596,2,"Open",1.281475
"167",167,4942.6,5249.1,602,2,"Open",1.163225
"168",168,4990.3,5261.5,604,2,"Open",1.573375
"169",169,4959.9,5280.2,608,2,"Open",1.430875
"170",170,4984.1,5286,609,2,"Open",1.5633425
"171",171,5008.7,5292.5,610,2,"Open",2.00765
