"route","hab","apr_may","year","y"
"176",105,"Op",5.98885,6,84
"177",105,"Op",4.6811,8,63
"178",106,"Br",4.5747,8,86
"179",107,"Urb",4.86295,8,15
"180",107,"Urb",5.391965,9,15
"181",108,"Op",4.5136,7,29
"182",108,"Op",5.61905,6,14
"183",109,"Co",4.228765,9,37
"184",109,"Co",4.4653,7,60
"185",109,"Co",5.60725,6,48
"186",110,"Co",4.555735,9,48
"187",110,"Co",4.001,8,32
"188",111,"We",5.60575,6,47
"189",112,"Co",3.442835,8,42
"190",113,"Co",4.58785,6,24
"191",113,"Co",3.4034,9,25
"192",113,"Co",3.352385,7,45
"193",113,"Co",2.115865,8,15
"194",114,"Co",3.1592,7,31
"195",114,"Co",4.3549,6,20
"196",114,"Co",3.1894,9,28
"197",115,"Co",3.39745,9,30
"198",115,"Co",2.1342,8,32
"199",115,"Co",3.3008,7,36
"200",115,"Co",4.6545,6,33
"201",116,"Co",2.010735,8,29
"202",116,"Co",4.5219,6,21
"203",116,"Co",3.33075,9,25
"204",117,"We",3.8263,9,54
"205",117,"We",3.050065,8,52
"206",118,"Co",1.53295,8,42
"207",118,"Co",2.9734,9,25
"208",119,"Co",2.5024,9,26
"209",120,"Op",5.1416,6,48
"210",120,"Op",3.7247,7,64
"211",121,"Co",3.493615,7,67
"212",121,"Co",4.96615,6,51
"213",122,"Co",3.3029,7,42
"214",122,"Co",2.128615,8,35
"215",123,"Co",0.82425,8,37
"216",124,"Op",5.2586,6,102
"217",124,"Op",4.11385,7,109
"218",125,"Br",3.1921,8,58
"219",125,"Br",4.12035,7,66
"220",126,"Br",4.0213,9,75
"221",126,"Br",3.801015,7,88
"222",127,"Co",4.89705,6,41
"223",127,"Co",3.56795,9,24
"224",128,"Co",1.015,8,60
"225",128,"Co",3.63745,6,55
"226",129,"Co",5.01575,6,57
"227",129,"Co",3.8266,7,54
"228",130,"Op",3.152815,8,77
"229",130,"Op",4.5821,9,50
"230",130,"Op",4.1199,7,99
"231",131,"Co",2.397835,8,38
"232",131,"Co",3.2803,7,38
"233",132,"Co",3.015585,7,29
"234",133,"Co",2.6327,9,21
"235",134,"Co",2.920515,8,58
"236",135,"Co",2.441015,8,42
"237",135,"Co",4.5826,6,58
"238",136,"Op",4.8794,6,26
"239",136,"Op",3.6426,7,19
"240",137,"Co",3.41245,9,38
"241",137,"Co",4.4097,6,61
"242",138,"Co",4.4628,6,54
"243",139,"Co",4.039485,9,22
"244",139,"Co",4.67745,6,44
"245",140,"Co",4.46965,6,48
"246",140,"Co",3.17095,7,57
"247",141,"Co",3.35115,9,22
"248",141,"Co",4.25595,6,28
"249",142,"We",1.60125,8,27
"250",143,"Co",1.5556,8,18
"251",144,"Br",4.271,6,48
"252",144,"Br",2.68615,7,77
"253",145,"Co",2.1803,7,92
"254",146,"Co",1.871165,8,36
"255",147,"Co",1.43195,8,53
"256",148,"Co",3.7751,6,9
"257",148,"Co",1.1065,8,38
"258",149,"Br",0.36195,8,49
"259",150,"Op",2.827965,7,39
"260",151,"We",1.4335,8,32
"261",152,"Co",3.5679,6,6
"262",152,"Co",1.90095,7,29
"263",153,"Op",0.88885,8,35
"264",153,"Op",3.61595,6,9
"265",154,"Co",0.74455,8,42
"266",155,"We",0.18905,8,35
